vendor_id,is_anomaly,anomaly_type,severity,expired_certifications,explanation
VND-0001,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0002,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0003,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0004,False,NONE,LOW,,No notable anomaly detected.
VND-0005,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Critical certification has expired and needs immediate renewal.
VND-0006,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0007,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0008,False,NONE,LOW,,No notable anomaly detected.
VND-0009,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0010,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0011,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0012,False,NONE,LOW,,No notable anomaly detected.
VND-0013,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0014,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0015,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Vendor reported a recent breach and is still integrated with systems.
VND-0016,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0017,False,NONE,LOW,,No notable anomaly detected.
VND-0018,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0019,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0020,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0021,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0022,False,NONE,LOW,,No notable anomaly detected.
VND-0023,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0024,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0025,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0026,False,NONE,LOW,,No notable anomaly detected.
VND-0027,False,NONE,LOW,,No notable anomaly detected.
VND-0028,False,NONE,LOW,,No notable anomaly detected.
VND-0029,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0030,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0031,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0032,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0033,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0034,True,EXPIRED_CERTIFICATION,HIGH,"SOC2,ISO27001","Vendor holds expired compliance certifications, increasing risk exposure."
VND-0035,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0036,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0037,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0038,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0039,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Critical certification has expired and needs immediate renewal.
VND-0040,False,NONE,LOW,,No notable anomaly detected.
